src,src_cls,[01],2,[34]
10109_left.jpg,0,20286_left_clahe.jpg,18451_right.jpg,19395_left_clahe.jpg
10109_left_clahe.jpg,0,11005_left_clahe.jpg,17892_left.jpg,31272_left.jpg
10234_left.jpg,0,16268_right.jpg,17220_left_clahe.jpg,4841_left.jpg
10234_left_clahe.jpg,0,1495_left_clahe.jpg,1657_left.jpg,11697_right.jpg
10244_left.jpg,0,19193_right_clahe.jpg,3004_right.jpg,17409_left.jpg
10244_left_clahe.jpg,0,15185_right.jpg,24688_left.jpg,40696_right.jpg
11163_right.jpg,0,33346_left.jpg,14980_left.jpg,10788_right.jpg
11163_right_clahe.jpg,0,17850_left.jpg,11206_left_clahe.jpg,17409_left_clahe.jpg
11238_right.jpg,0,19976_left.jpg,23120_left.jpg,26332_left_clahe.jpg
11238_right_clahe.jpg,0,12005_left.jpg,7384_right.jpg,19395_left.jpg
12325_right.jpg,0,11772_left.jpg,14980_left_clahe.jpg,41451_left.jpg
12325_right_clahe.jpg,0,30313_left.jpg,3045_right_clahe.jpg,20360_left.jpg
13101_left.jpg,0,21278_left_clahe.jpg,15430_right.jpg,10788_right_clahe.jpg
13101_left_clahe.jpg,0,17850_left_clahe.jpg,29534_right.jpg,18059_left.jpg
13209_left.jpg,0,9944_left.jpg,99_right.jpg,13450_left_clahe.jpg
13209_left_clahe.jpg,0,13169_left_clahe.jpg,29873_left.jpg,11697_right_clahe.jpg
13808_right.jpg,0,14110_right_clahe.jpg,19478_left.jpg,28047_left.jpg
13808_right_clahe.jpg,0,21278_left.jpg,38247_left_clahe.jpg,18656_right_clahe.jpg
15602_right.jpg,0,3166_left.jpg,14964_right.jpg,40696_right_clahe.jpg
15602_right_clahe.jpg,0,34701_left.jpg,1296_right.jpg,26427_right.jpg
1674_right.jpg,0,16268_right_clahe.jpg,17873_right_clahe.jpg,4841_left_clahe.jpg
1674_right_clahe.jpg,0,29052_left.jpg,31421_right.jpg,31693_left_clahe.jpg
19114_left.jpg,0,26078_left.jpg,14651_right.jpg,23318_left_clahe.jpg
19114_left_clahe.jpg,0,14177_left_clahe.jpg,6465_left_clahe.jpg,26427_right_clahe.jpg
214_left.jpg,0,3166_right_clahe.jpg,16036_left.jpg,28047_left_clahe.jpg
214_left_clahe.jpg,0,19192_right_clahe.jpg,11844_right_clahe.jpg,31272_left_clahe.jpg
22390_right.jpg,0,25518_left_clahe.jpg,18163_left_clahe.jpg,13450_left.jpg
22390_right_clahe.jpg,0,33168_right.jpg,42244_left.jpg,18059_left_clahe.jpg
23104_right.jpg,0,10397_right.jpg,2260_right.jpg,20360_left_clahe.jpg
23104_right_clahe.jpg,0,14177_left.jpg,20311_left.jpg,23318_left.jpg
23392_right.jpg,0,32901_right_clahe.jpg,32507_right_clahe.jpg,26332_left.jpg
23392_right_clahe.jpg,0,945_right_clahe.jpg,7349_left_clahe.jpg,4531_right_clahe.jpg
24104_left.jpg,0,29494_left.jpg,13684_left.jpg,36621_left.jpg
24104_left_clahe.jpg,0,21866_right_clahe.jpg,37766_left_clahe.jpg,36621_left_clahe.jpg
24589_right.jpg,0,34701_left_clahe.jpg,31549_left.jpg,31693_left.jpg
24589_right_clahe.jpg,0,26078_left_clahe.jpg,40647_right.jpg,41451_left_clahe.jpg
28001_right.jpg,0,26982_left_clahe.jpg,369_left_clahe.jpg,18656_right.jpg
28001_right_clahe.jpg,0,16386_left.jpg,17261_right_clahe.jpg,4531_right.jpg
28947_left.jpg,0,36983_right_clahe.jpg,11858_left.jpg,27050_right.jpg
28947_left_clahe.jpg,0,17840_right_clahe.jpg,21446_left.jpg,19395_right.jpg
29172_left.jpg,0,945_right.jpg,43399_left.jpg,5195_right_clahe.jpg
29172_left_clahe.jpg,0,14936_left.jpg,28919_left.jpg,3563_left_clahe.jpg
30362_left.jpg,0,20671_left.jpg,15938_left.jpg,24235_right.jpg
30362_left_clahe.jpg,0,35012_right.jpg,18432_right.jpg,10454_left.jpg
30395_right.jpg,0,17840_right.jpg,2094_right.jpg,5195_right.jpg
